time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,stationName,active
2020-11-02T19:25:15.340Z,40.2953339,-124.3834991,6.53,2.98,md,15,237,0.09782,0.12,nc,nc73477306,2020-11-03T03:27:41.167Z,"9km WSW of Petrolia, CA",earthquake,1.08,0.5,0.07,22,automatic,nc,nc,tram xxx,1
2020-11-02T19:16:40.054Z,37.8283,26.4937,10,4.5,mb,,29,1.756,1.14,us,us7000c9df,2020-11-02T22:57:42.040Z,"19 km WNW of Néon Karlovásion, Greece",earthquake,4.4,1.5,0.171,10,reviewed,us,us,tram xxx,1
2020-11-02T18:22:42.511Z,44.5579,-115.2077,10,2.9,ml,,80,0.773,0.58,us,us7000c9cg,2020-11-03T02:25:24.382Z,"43 km NNW of Stanley, Idaho",earthquake,2,2,0.045,64,reviewed,us,us,tram xxx,1
2020-11-02T18:20:14.430Z,17.918,-66.8458,12,2.69,md,21,200,0.0662,0.21,pr,pr2020307007,2020-11-02T22:10:17.040Z,"8 km SE of Maria Antonia, Puerto Rico",earthquake,0.62,0.43,0.27,17,reviewed,pr,pr,tram xxx,1
2020-11-02T18:01:58.918Z,-3.4515,131.1099,12.43,5.3,mww,,28,1.254,0.61,us,us7000c9c6,2020-11-03T02:04:26.239Z,"243 km E of Amahai, Indonesia",earthquake,5.6,3.8,0.08,15,reviewed,us,us,tram xxx,1
2020-11-02T16:26:29.780Z,34.8598333,-116.3381667,5.31,2.64,ml,37,42,0.03047,0.14,ci,ci39454303,2020-11-03T00:35:20.170Z,"22km NW of Ludlow, CA",earthquake,0.15,0.39,0.165,26,reviewed,ci,ci,tram xxx,1
2020-11-02T14:38:33.813Z,54.5533,-163.3148,17.8,2.7,ml,,,,0.65,ak,ak020e3yjo5s,2020-11-02T23:24:06.671Z,"34 km S of False Pass, Alaska",earthquake,,0.7,,,reviewed,ak,ak,tram xxx,1
2020-11-02T14:34:36.414Z,53.6561,-159.9548,20,3.4,ml,,,,0.44,ak,ak020e3yj07x,2020-11-02T23:13:55.401Z,"190 km S of Sand Point, Alaska",earthquake,,3.2,,,reviewed,ak,ak,tram xxx,1
2020-11-02T13:48:15.578Z,62.6927,-149.8143,4.8,2.6,ml,,,,1.02,ak,ak020e3y0hyz,2020-11-02T14:40:20.040Z,"30 km NNE of Chase, Alaska",earthquake,,0.4,,,automatic,ak,ak,tram xxx,1
2020-11-02T13:42:19.154Z,-13.1008,-76.8766,35.54,4.7,mb,,135,1.107,0.7,us,us7000c99i,2020-11-03T04:57:41.376Z,"49 km SW of Asia, Peru",earthquake,9.4,7.9,0.065,71,reviewed,us,us,tram xxx,1
2020-11-02T12:31:57.070Z,17.9466,-66.9441,8,2.56,md,11,211,0.0709,0.12,pr,pr2020307005,2020-11-02T12:52:14.827Z,"4 km SW of Guánica, Puerto Rico",earthquake,0.48,0.67,0.46,5,reviewed,pr,pr,tram xxx,1
2020-11-02T12:17:29.900Z,10.6304,-86.5124,10,4.8,mb,,142,1.063,0.71,us,us7000c992,2020-11-02T13:05:16.763Z,"95 km W of Sardinal, Costa Rica",earthquake,5.9,1.9,0.03,355,reviewed,us,us,tram xxx,1
2020-11-02T11:47:53.250Z,19.21983333,-155.3948333,30.56,3.48,md,52,163,,0.11,hv,hv72213751,2020-11-03T05:10:44.301Z,"9 km ENE of Pāhala, Hawaii",earthquake,0.53,0.72,0.147905852,24,reviewed,hv,hv,tram xxx,1
2020-11-02T11:09:40.790Z,31.54,-115.7041667,-0.79,2.81,ml,6,160,0.1631,0.13,ci,ci37459797,2020-11-02T15:40:43.193Z,"84km ESE of Maneadero, B.C., MX",earthquake,0.73,2.04,0.095,6,reviewed,ci,ci,tram xxx,1
2020-11-02T11:09:17.650Z,31.5388333,-115.7136667,0.48,3.24,ml,10,158,0.1588,0.3,ci,ci39454031,2020-11-02T15:37:57.759Z,"83km ESE of Maneadero, B.C., MX",earthquake,1.81,4.95,0.156,27,reviewed,ci,ci,tram xxx,1
