time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,stationName,active
2020-10-31T21:38:02.164Z,-9.1753,108.9398,35.42,4.5,mb,,130,2.006,0.36,us,us7000c8rt,2020-10-31T23:07:03.280Z,"173 km S of Kroya, Indonesia",earthquake,6.4,6,0.097,31,reviewed,us,us,tram xxx,1
2020-10-31T21:28:46.831Z,40.6014,77.9271,6.34,4.3,mb,,74,1.13,0.79,us,us7000c8rp,2020-10-31T23:23:18.040Z,"182 km SSE of Kadzhi-Say, Kyrgyzstan",earthquake,4.3,5.7,0.129,17,reviewed,us,us,tram xxx,1
2020-10-31T21:04:06.840Z,-55.742,-27.1901,41.92,5.1,mb,,68,5.546,0.78,us,us7000c8rj,2020-10-31T21:22:23.040Z,South Sandwich Islands region,earthquake,9.7,4.9,0.075,58,reviewed,us,us,tram xxx,1
2020-10-31T20:59:16.602Z,14.5443,-93.6794,10,4.4,mb,,171,1.921,0.82,us,us7000c8re,2020-10-31T22:40:47.040Z,"114 km SSW of La Esperanza (El Zapotal), Mexico",earthquake,7.3,2,0.052,108,reviewed,us,us,tram xxx,1
2020-10-31T20:57:23.840Z,35.3396667,-118.5051667,3.02,2.82,ml,48,37,0.1852,0.17,ci,ci39452551,2020-10-31T23:30:04.439Z,"24km NNW of Tehachapi, CA",earthquake,0.23,1.57,0.183,25,automatic,ci,ci,tram xxx,1
2020-10-31T20:22:54.460Z,17.9338,-65.6148,3,3.1,md,15,319,0.3133,0.49,pr,pr2020305004,2020-11-01T01:00:10.143Z,"23 km SW of Esperanza, Puerto Rico",earthquake,3.35,1.61,0.15,7,reviewed,pr,pr,tram xxx,1
2020-10-31T19:49:37.740Z,34.1133347,-116.6933365,1.38,2.97,ml,128,21,0.0836,0.17,ci,ci39452471,2020-10-31T22:16:45.040Z,"13km NW of Morongo Valley, CA",earthquake,0.14,0.47,0.204,20,reviewed,ci,ci,tram xxx,1
2020-10-31T18:51:47.217Z,-27.879,-69.4482,127.95,4.3,mb,,78,0.752,1.81,us,us7000c8q6,2020-10-31T20:53:52.040Z,"104 km ESE of Copiapó, Chile",earthquake,4.9,6.8,0.218,6,reviewed,us,us,tram xxx,1
2020-10-31T18:43:09.950Z,31.7136,93.4159,10,4.2,mb,,43,2.811,0.76,us,us7000c8qd,2020-11-01T11:54:03.662Z,"131 km E of Nagqu, China",earthquake,3.3,1.9,0.099,38,reviewed,us,us,tram xxx,1
2020-10-31T18:25:42.710Z,19.20016667,-155.4966667,34.98,2.88,md,49,75,,0.09,hv,hv72210621,2020-11-01T18:27:28.242Z,"1 km W of Pāhala, Hawaii",earthquake,0.41,0.62,0.128592388,22,reviewed,hv,hv,tram xxx,1
2020-10-31T18:04:18.269Z,51.4177,-176.2564,39.8,4.2,mb,,147,0.536,0.77,us,us7000c8pt,2020-10-31T23:37:22.729Z,"57 km SSE of Adak, Alaska",earthquake,4.4,8.4,0.048,128,reviewed,us,us,tram xxx,1
2020-10-31T17:26:52.070Z,44.281,-115.0305,9.33,2.62,ml,13,77,0.845,0.28,mb,mb80472724,2020-11-02T15:59:08.890Z,"10 km NW of Stanley, Idaho",earthquake,0.77,1.79,0.279,11,reviewed,mb,mb,tram xxx,1
2020-10-31T17:01:18.319Z,54.4271,-159.7282,32.93,4,mb,,164,0.412,0.57,us,us7000c8nb,2020-10-31T18:28:00.040Z,"112 km SSE of Sand Point, Alaska",earthquake,5.7,6.7,0.138,17,reviewed,us,us,tram xxx,1
2020-10-31T16:59:44.352Z,34.1448,78.1161,34.65,4.4,mb,,131,4.061,1.23,us,us7000c8na,2020-10-31T17:29:25.040Z,"49 km E of Leh, India",earthquake,4.5,5.7,0.123,19,reviewed,us,us,tram xxx,1
2020-10-31T16:55:18.100Z,44.2811667,-115.0266667,8.65,2.91,ml,15,76,0.844,0.3,mb,mb80472719,2020-11-02T15:28:14.750Z,"9 km NW of Stanley, Idaho",earthquake,0.65,1.7,0.23,18,reviewed,mb,mb,tram xxx,1
2020-10-31T16:40:33.691Z,51.0692,-174.1345,27,2.6,ml,,,,0.39,ak,ak020e0oog2v,2020-10-31T23:28:11.491Z,"125 km S of Atka, Alaska",earthquake,,3.4,,,reviewed,ak,ak,tram xxx,1
2020-10-31T14:42:43.671Z,37.8431,26.4217,10,4.5,mb,,55,1.803,0.48,us,us7000c8mn,2020-10-31T20:56:20.010Z,"25 km WNW of Néon Karlovásion, Greece",earthquake,4.9,1.5,0.221,6,reviewed,us,us,tram xxx,1
2020-10-31T14:41:09.785Z,38.1572,-117.937,10.5,3.1,ml,22,32.44,0.025,0.1394,nn,nn00781237,2020-11-01T03:43:21.266Z,"29 km SSE of Mina, Nevada",earthquake,,0.5,0.28,18,reviewed,nn,nn,tram xxx,1
2020-10-31T14:26:50.450Z,17.9838,-65.5558,4,3.06,md,16,330,0.3331,0.65,pr,pr2020305002,2020-10-31T17:11:38.040Z,"15 km SW of Esperanza, Puerto Rico",earthquake,5.39,4.77,0.14,10,reviewed,pr,pr,tram xxx,1
2020-10-31T13:41:43.822Z,-6.6764,125.1772,557.49,4.5,mb,,52,3.189,0.89,us,us7000c8mf,2020-11-01T03:55:12.152Z,"212 km N of Likisá, Timor Leste",earthquake,6.8,9.4,0.099,30,reviewed,us,us,tram xxx,1
2020-10-31T11:43:49.980Z,44.3001667,-115.0876667,7.06,2.51,ml,12,78,0.884,0.24,mb,mb80472699,2020-10-31T15:18:28.790Z,"15 km NW of Stanley, Idaho",earthquake,0.59,1.53,0.18,13,reviewed,mb,mb,tram xxx,1
2020-10-31T11:34:19.320Z,18.8123,-67.507,30,3.17,md,22,218,0.4288,0.21,pr,pr2020305001,2020-10-31T19:37:36.081Z,"55 km NW of San Antonio, Puerto Rico",earthquake,0.76,3.05,0.21,16,reviewed,pr,pr,tram xxx,1
2020-10-31T11:08:36.111Z,-21.7714,-68.5317,119.08,4.5,mb,,35,0.66,0.92,us,us7000c8lp,2020-10-31T11:27:25.040Z,"85 km NNE of Calama, Chile",earthquake,6.3,3.4,0.171,10,reviewed,us,us,tram xxx,1
2020-10-31T10:19:32.101Z,-21.7564,-177.9452,377.26,4.4,mb,,101,5.488,0.78,us,us7000c8ln,2020-10-31T11:08:11.040Z,"290 km WSW of Haveluloto, Tonga",earthquake,12.6,7.7,0.082,42,reviewed,us,us,tram xxx,1
2020-10-31T10:15:25.850Z,-22.1561,-179.1085,549.18,5.1,mb,,100,5.136,0.83,us,us7000c8lj,2020-10-31T10:36:25.040Z,south of the Fiji Islands,earthquake,10.6,7.1,0.08,50,reviewed,us,us,tram xxx,1
2020-10-31T09:17:07.695Z,61.0651,-151.1961,35.1,2.8,ml,,,,0.6,ak,ak020e0kdesc,2020-10-31T09:46:51.040Z,"3 km W of Tyonek, Alaska",earthquake,,4.2,,,automatic,ak,ak,tram xxx,1
2020-10-31T09:10:50.746Z,54.5692,-159.7228,18.9,3.4,ml,,,,0.78,ak,ak020e0kc05t,2020-10-31T23:13:58.564Z,"98 km SSE of Sand Point, Alaska",earthquake,,0.5,,,reviewed,ak,ak,tram xxx,1
2020-10-31T08:55:19.354Z,56.5902,-156.3253,35.1,2.9,ml,,,,0.76,ak,ak020e0k05bv,2020-10-31T09:08:13.040Z,"121 km SSE of Ugashik, Alaska",earthquake,,8.4,,,automatic,ak,ak,tram xxx,1
2020-10-31T08:50:07.210Z,17.927,-66.9083,13,2.7,md,20,202,0.0562,0.24,pr,pr2020305000,2020-10-31T09:38:42.627Z,"4 km S of Guánica, Puerto Rico",earthquake,0.74,0.4,0.31,10,reviewed,pr,pr,tram xxx,1
2020-10-31T07:57:03.660Z,56.0745,-155.6043,78.7,3,ml,,,,0.66,ak,ak020e0jf3wg,2020-10-31T08:15:00.040Z,"131 km SW of Akhiok, Alaska",earthquake,,1.2,,,automatic,ak,ak,tram xxx,1
2020-10-31T07:41:40.515Z,-62.3845,-58.3104,10,5,mww,,89,0.221,0.57,us,us7000c8kb,2020-11-01T03:55:54.040Z,South Shetland Islands,earthquake,6.2,1.9,0.093,11,reviewed,us,us,tram xxx,1
2020-10-31T07:34:05.156Z,-62.3101,-58.2092,1.43,4.6,mb,,90,0.224,0.96,us,us7000c8l1,2020-10-31T09:05:32.040Z,South Shetland Islands,earthquake,2.9,4.9,0.145,14,reviewed,us,us,tram xxx,1
2020-10-31T06:22:53.834Z,-62.2953,-58.2754,8.89,4.7,mb,,64,0.19,0.59,us,us7000c8k0,2020-10-31T06:42:38.040Z,South Shetland Islands,earthquake,4.4,4.1,0.106,27,reviewed,us,us,tram xxx,1
2020-10-31T05:36:09.861Z,54.5411,-159.3357,40.39,4.7,mwr,,156,0.325,0.71,us,us7000c8jt,2020-10-31T05:59:11.332Z,"115 km SE of Sand Point, Alaska",earthquake,6.1,4,0.098,10,reviewed,us,us,tram xxx,1
2020-10-31T05:31:29.709Z,37.8482,26.8385,1.7,4.8,mwr,,39,1.499,0.54,us,us7000c8jq,2020-11-02T12:06:47.753Z,"8 km NNW of Kokkári, Greece",earthquake,4.6,4.7,0.069,20,reviewed,us,us,tram xxx,1
2020-10-31T05:22:11.191Z,-18.1513,-178.188,579.22,4.4,mb,,86,3.601,0.54,us,us7000c8js,2020-10-31T05:56:01.040Z,"264 km E of Levuka, Fiji",earthquake,12.2,8.2,0.08,45,reviewed,us,us,tram xxx,1
2020-10-31T04:46:51.137Z,54.3886,-159.6699,27.41,4.2,mb,,212,0.445,0.66,us,us7000c8j8,2020-10-31T06:09:53.545Z,"118 km SSE of Sand Point, Alaska",earthquake,6.9,10.7,0.152,13,reviewed,us,us,tram xxx,1
2020-10-31T04:03:11.710Z,48.60266667,-123.0918333,12.25,2.46,ml,28,82,0.07727,0.27,uw,uw61698576,2020-11-02T18:49:02.488Z,"9 km NW of Friday Harbor, Washington",earthquake,0.38,1.24,0.158555097,14,reviewed,uw,uw,tram xxx,1
2020-10-31T03:49:08.770Z,19.41583252,-155.2855072,2.440000057,2.54999995,md,9,86,,0.119999997,hv,hv72209746,2020-10-31T03:52:17.640Z,"6 km WSW of Volcano, Hawaii",earthquake,0.64,0.25999999,1.26999998,8,automatic,hv,hv,tram xxx,1
2020-10-31T03:19:35.401Z,53.5821,-159.8889,10,4.3,mb,,180,1.263,1.23,us,us7000c8hk,2020-10-31T03:48:52.145Z,"199 km S of Sand Point, Alaska",earthquake,8.4,1.9,0.094,33,reviewed,us,us,tram xxx,1
2020-10-31T03:12:24.978Z,60.8319,-151.4937,55.8,2.7,ml,,,,0.66,ak,ak020e0grrx8,2020-10-31T03:29:47.040Z,"19 km NW of Nikiski, Alaska",earthquake,,0.7,,,automatic,ak,ak,tram xxx,1
2020-10-31T02:49:48.808Z,14.1896,120.7137,160.17,4.6,mb,,103,3.352,0.56,us,us7000c8hd,2020-11-01T13:15:19.919Z,"4 km W of Magallanes, Philippines",earthquake,11,7.6,0.063,75,reviewed,us,us,tram xxx,1
2020-10-31T01:44:27.026Z,-23.7673,-179.8056,514.61,4.5,mb,,98,5.708,1.03,us,us7000c8gu,2020-10-31T02:00:24.040Z,south of the Fiji Islands,earthquake,7.4,9.8,0.044,154,reviewed,us,us,tram xxx,1
2020-10-31T01:40:35.055Z,37.8364,26.5164,28.7,4,mb,,41,1.736,1.26,us,us7000c8gr,2020-10-31T02:31:36.040Z,"17 km WNW of Néon Karlovásion, Greece",earthquake,5.6,9,0.195,7,reviewed,us,us,tram xxx,1
2020-10-31T01:10:10.052Z,54.495,-159.5548,25.53,4.2,mb,,174,0.337,0.81,us,us7000c8gn,2020-10-31T02:47:32.923Z,"111 km SSE of Sand Point, Alaska",earthquake,4.2,6,0.159,12,reviewed,us,us,tram xxx,1
2020-10-30T23:46:45.766Z,71.491,-3.33,10,5.3,mww,,23,8.403,0.77,us,us7000c8gc,2020-10-31T00:39:17.040Z,"203 km ENE of Olonkinbyen, Svalbard and Jan Mayen",earthquake,7.4,1.8,0.046,46,reviewed,us,us,tram xxx,1
2020-10-30T22:56:47.634Z,71.5626,-3.3424,10,5.6,mww,,31,8.341,0.79,us,us7000c8fy,2020-11-02T16:15:21.040Z,"205 km ENE of Olonkinbyen, Svalbard and Jan Mayen",earthquake,6.3,1.4,0.043,52,reviewed,us,us,tram xxx,1
2020-10-30T22:53:23.331Z,37.901,26.7432,10,4.1,mb,,50,1.546,0.85,us,us7000c8fv,2020-10-30T23:07:50.040Z,"12 km NNE of Néon Karlovásion, Greece",earthquake,5.5,2,0.175,9,reviewed,us,us,tram xxx,1
2020-10-30T21:47:36.231Z,60.0003,-147.0492,10,3.2,ml,,,,0.89,ak,ak020dz45r7g,2020-10-30T22:07:41.040Z,"54 km E of Chenega, Alaska",earthquake,,0.3,,,automatic,ak,ak,tram xxx,1
2020-10-30T20:46:14.443Z,44.118,-115.0912,15.04,3,ml,,49,0.74,1.04,us,us7000c8dl,2020-10-31T14:37:12.765Z,"16 km SW of Stanley, Idaho",earthquake,2.9,2.1,0.038,90,reviewed,us,us,tram xxx,1
2020-10-30T20:18:48.900Z,44.3692,-115.1702,19.73,2.8,ml,,61,0.93,0.46,us,us7000c8d3,2020-10-31T13:36:04.683Z,"25 km NW of Stanley, Idaho",earthquake,1.8,9.9,0.046,62,reviewed,us,us,tram xxx,1
2020-10-30T20:12:37.379Z,38.8868,75.6882,10,4.8,mb,,39,3.267,0.75,us,us7000c8cm,2020-10-30T22:01:49.040Z,"southern Xinjiang, China",earthquake,6.7,1.9,0.069,72,reviewed,us,us,tram xxx,1
2020-10-30T19:22:25.270Z,40.503334,-125.1074982,-0.24,2.57,md,33,290,0.5879,0.24,nc,nc73476556,2020-10-30T22:39:07.125Z,"72km W of Ferndale, CA",earthquake,4.3,9.03,0.13,10,automatic,nc,nc,tram xxx,1
2020-10-30T19:04:55.296Z,-4.782,128.1884,10,4.6,mb,,39,4.434,0.78,us,us7000c89v,2020-10-30T21:09:04.040Z,"120 km S of Ambon, Indonesia",earthquake,6.5,1.8,0.083,46,reviewed,us,us,tram xxx,1
2020-10-30T18:28:42.111Z,48.4095,-78.5392,3.48,3.6,mb_lg,,80,0.566,0.66,us,us7000c84u,2020-10-31T05:01:11.040Z,"35 km WSW of Amos, Canada",earthquake,6.1,8,0.085,36,reviewed,us,us,tram xxx,1
2020-10-30T18:27:35.845Z,1.4283,126.4693,52.39,4.5,mb,,88,1.109,0.81,us,us7000c84z,2020-10-30T19:41:23.040Z,"123 km NW of Ternate, Indonesia",earthquake,7.5,8.1,0.106,30,reviewed,us,us,tram xxx,1
2020-10-30T18:24:42.912Z,-10.1795,-75.1835,45.29,5.5,mww,,69,2.424,0.9,us,us7000c84t,2020-11-02T16:11:12.040Z,central Peru,earthquake,6.7,6.3,0.08,15,reviewed,us,us,tram xxx,1
2020-10-30T18:01:44.159Z,-5.6,142.2086,31.47,5,mb,,27,6.195,1.01,us,us7000c84i,2020-10-30T18:19:10.040Z,"86 km WNW of Tari, Papua New Guinea",earthquake,7.8,5.2,0.067,75,reviewed,us,us,tram xxx,1
2020-10-30T17:16:03.144Z,37.8027,27.0652,10,4.3,mb,,42,1.362,1.17,us,us7000c83m,2020-10-31T03:54:17.293Z,"9 km NE of Samos, Greece",earthquake,3.9,1.9,0.237,6,reviewed,us,us,tram xxx,1
2020-10-30T16:31:31.654Z,31.649,-104.3103,5,2.5,mb_lg,,63,0.125,0.26,us,us7000c81z,2020-10-30T18:36:47.040Z,"58 km S of Whites City, New Mexico",earthquake,1,1.5,0.18,28,reviewed,us,us,tram xxx,1
2020-10-30T16:29:07.498Z,50.9491,-179.866,25.78,4.3,mb,,214,0.677,0.96,us,us7000c823,2020-10-30T17:17:06.040Z,"247 km WSW of Adak, Alaska",earthquake,9.1,7.9,0.072,55,reviewed,us,us,tram xxx,1
2020-10-30T15:51:36.039Z,36.4952,71.1791,201.83,4.6,mb,,106,2.615,0.91,us,us7000c80k,2020-10-30T18:23:02.040Z,"37 km WSW of Ashkāsham, Afghanistan",earthquake,9.6,14.9,0.222,6,reviewed,us,us,tram xxx,1
2020-10-30T15:43:15.320Z,31.6616,-104.3072,5,2.9,mb_lg,,59,0.112,0.31,us,us7000c806,2020-10-30T17:27:45.040Z,"57 km S of Whites City, New Mexico",earthquake,1,1.5,0.109,58,reviewed,us,us,tram xxx,1
2020-10-30T15:14:56.384Z,37.8357,26.8313,10,5.2,mww,,39,1.509,1.17,us,us7000c7zh,2020-10-31T11:03:07.484Z,"8 km NW of Kokkári, Greece",earthquake,2.8,1.9,0.093,11,reviewed,us,us,tram xxx,1
2020-10-30T14:47:02.307Z,-10.8015,161.2714,26.73,4.6,mb,,173,1.879,0.59,us,us7000c7z7,2020-10-30T18:27:20.040Z,"80 km WSW of Kirakira, Solomon Islands",earthquake,13.5,8.8,0.151,13,reviewed,us,us,tram xxx,1
2020-10-30T14:01:32.780Z,17.4301,-66.1183,22,3.21,md,11,283,0.5354,0.28,pr,pr2020304003,2020-10-30T18:32:07.040Z,"58 km S of Jobos, Puerto Rico",earthquake,1.35,19.03,0.13,10,reviewed,pr,pr,tram xxx,1
2020-10-30T13:11:52.664Z,54.4048,-159.7133,19.88,4.3,mb,,228,0.433,0.76,us,us7000c7yn,2020-10-30T13:31:54.040Z,"115 km SSE of Sand Point, Alaska",earthquake,6.1,9.1,0.189,8,reviewed,us,us,tram xxx,1
2020-10-30T13:01:19.684Z,-12.2342,166.9311,221.38,4.7,mb,,116,3.204,0.89,us,us7000c7yl,2020-10-30T13:19:32.040Z,"193 km NNW of Sola, Vanuatu",earthquake,12.5,4.7,0.054,105,reviewed,us,us,tram xxx,1
2020-10-30T13:00:43.723Z,37.8695,26.8175,10,4.9,mb,,64,1.505,0.98,us,us7000c7ye,2020-10-30T13:25:53.040Z,"11 km NNW of Kokkári, Greece",earthquake,5.6,1.9,0.136,17,reviewed,us,us,tram xxx,1
2020-10-30T12:45:56.854Z,31.6597,-104.3103,5,2.9,ml,,59,0.114,0.36,us,us7000c7y8,2020-10-30T13:10:05.040Z,"57 km S of Whites City, New Mexico",earthquake,1.3,1.9,0.051,67,reviewed,us,us,tram xxx,1
2020-10-30T12:43:53.700Z,53.4195,-163.6171,6.8,2.6,ml,,,,0.57,ak,ak020dyys50p,2020-10-30T23:27:09.755Z,"160 km S of False Pass, Alaska",earthquake,,2.5,,,reviewed,ak,ak,tram xxx,1
2020-10-30T12:22:27.180Z,46.8746667,-112.5206667,12.54,3.31,ml,32,102,0.046,0.17,mb,mb80472329,2020-11-03T03:46:24.703Z,"15 km SE of Lincoln, Montana",earthquake,0.44,0.37,0.162,25,reviewed,mb,mb,tram xxx,1
2020-10-30T12:15:30.800Z,44.3111,-115.0839,14.34,3.3,ml,,78,0.891,0.4,us,us7000c7y3,2020-10-30T14:39:26.120Z,"15 km NW of Stanley, Idaho",earthquake,1.9,10.4,0.04,82,reviewed,us,us,tram xxx,1
2020-10-30T11:54:57.300Z,44.3033333,-115.09,7.16,2.67,ml,13,78,0.887,0.25,mb,mb80472299,2020-10-30T14:48:44.490Z,"15 km NW of Stanley, Idaho",earthquake,0.6,1.53,0.217,14,reviewed,mb,mb,tram xxx,1
2020-10-30T11:51:27.563Z,37.9175,26.7901,21,7,mww,,18,1.505,0.76,us,us7000c7y0,2020-11-03T10:58:02.231Z,"15 km NNE of Néon Karlovásion, Greece",earthquake,4.9,1.8,0.036,75,reviewed,us,us,tram xxx,1
2020-10-30T11:10:09.904Z,-8.8151,161.0729,14.11,5.6,mww,,49,1.272,0.99,us,us7000c7xt,2020-10-31T11:23:44.393Z,"41 km E of Auki, Solomon Islands",earthquake,8.2,4.1,0.093,11,reviewed,us,us,tram xxx,1
2020-10-30T10:49:36.558Z,59.8348,-139.4121,0.7,2.7,ml,,,,0.76,ak,ak020dyxmf33,2020-10-30T11:21:11.957Z,"36 km NNE of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak,tram xxx,1
2020-10-30T10:36:38.354Z,13.6153,-92.0737,35,4.1,mb,,210,0.975,0.77,us,us7000c7xi,2020-10-30T10:55:02.040Z,"77 km SSW of Champerico, Guatemala",earthquake,10.6,2,0.082,41,reviewed,us,us,tram xxx,1
2020-10-30T10:14:58.937Z,-25.9092,179.3161,515.33,5.3,mb,,52,4.125,0.99,us,us7000c7x8,2020-10-30T10:32:35.040Z,south of the Fiji Islands,earthquake,10,8.1,0.029,406,reviewed,us,us,tram xxx,1
2020-10-30T10:07:41.370Z,53.2612,-164.8069,6.47,2.6,ml,,255,1.045,0.49,us,us7000c8f5,2020-11-02T13:25:10.040Z,"116 km SSE of Akutan, Alaska",earthquake,3.1,6.8,0.148,6,reviewed,us,us,tram xxx,1
2020-10-30T08:52:00.890Z,35.8796654,-121.456337,1.2,2.66,md,40,194,0.2282,0.25,nc,nc73476376,2020-10-30T10:10:05.491Z,"18km SSE of Lopez Point, CA",earthquake,0.93,3.5,0.16,34,automatic,nc,nc,tram xxx,1
2020-10-30T08:38:42.625Z,10.6398,-43.5183,10,5.9,mww,,32,17.554,1.36,us,us7000c7wh,2020-10-31T08:43:33.277Z,northern Mid-Atlantic Ridge,earthquake,10.9,1.8,0.047,44,reviewed,us,us,tram xxx,1
2020-10-30T08:30:11.650Z,19.20283333,-155.411,34.73,2.84,md,50,165,,0.1,hv,hv72208481,2020-10-31T04:36:26.040Z,"7 km E of Pāhala, Hawaii",earthquake,0.43,0.61,0.091940326,23,reviewed,hv,hv,tram xxx,1
2020-10-30T08:02:46.090Z,37.638,-119.3846667,6.44,2.61,md,12,146,0.2425,0.09,nc,nc73476341,2020-10-31T06:57:57.425Z,"20km SE of Yosemite Valley, CA",earthquake,0.57,2.64,0.251,18,reviewed,nc,nc,tram xxx,1
2020-10-30T08:02:03.830Z,37.6336667,-119.396,8.39,3.1,md,44,60,0.2514,0.17,nc,nc73476346,2020-10-31T07:07:14.169Z,"20km SE of Yosemite Valley, CA",earthquake,0.35,1.66,0.174,48,reviewed,nc,nc,tram xxx,1
2020-10-30T07:54:48.860Z,18.009,-66.794,15,2.82,md,21,144,0.0917,0.13,pr,pr2020304002,2020-10-30T09:08:27.040Z,"1 km SSW of Guayanilla, Puerto Rico",earthquake,0.38,0.34,0.29,14,reviewed,pr,pr,tram xxx,1
2020-10-30T07:28:38.271Z,44.2477,-115.0909,10,2.6,ml,,68,0.841,0.83,us,us7000c7w4,2020-10-31T04:31:44.466Z,"12 km WNW of Stanley, Idaho",earthquake,3.3,2,0.052,48,reviewed,us,us,tram xxx,1
2020-10-30T07:07:13.878Z,54.4742,-159.6603,19.02,3,ml,,215,0.359,0.64,us,us7000c8d1,2020-10-31T04:28:56.378Z,"110 km SSE of Sand Point, Alaska",earthquake,7.3,11.5,0.074,24,reviewed,us,us,tram xxx,1
2020-10-30T06:52:11.580Z,36.186,-96.9745,7.87,2.64,ml,56,38,0,0.17,ok,ok2020vida,2020-10-30T15:21:24.831Z,Oklahoma,earthquake,,0.4,0.26,22,reviewed,ok,ok,tram xxx,1
2020-10-30T06:42:44.950Z,54.2935,-159.5944,19.49,3.6,ml,,215,0.538,0.72,us,us7000c7vy,2020-10-30T07:04:30.040Z,"129 km SSE of Sand Point, Alaska",earthquake,9.7,12.9,0.081,20,reviewed,us,us,tram xxx,1
2020-10-30T06:41:10.390Z,18.3586,-66.2673,67,2.68,md,19,182,0.2757,0.15,pr,pr2020304001,2020-10-30T07:06:01.145Z,"0 km WSW of Galateo, Puerto Rico",earthquake,0.7,0.59,0.07,7,reviewed,pr,pr,tram xxx,1
2020-10-30T05:12:31.944Z,44.0492,147.0559,79.12,4.2,mb,,135,3.216,0.59,us,us7000c7vc,2020-10-30T05:38:39.040Z,"38 km NE of Shikotan, Russia",earthquake,9.2,8.4,0.097,30,reviewed,us,us,tram xxx,1
2020-10-30T05:05:38.593Z,-20.5595,-68.9893,114.65,4.1,mb,,42,0.443,0.48,us,us7000c7va,2020-10-30T05:49:21.307Z,"127 km ESE of Iquique, Chile",earthquake,3.7,8.9,0.175,9,reviewed,us,us,tram xxx,1
2020-10-30T04:36:29.522Z,54.5552,-159.662,31.28,5.1,mww,,123,0.279,0.88,us,us7000c7v4,2020-10-30T16:23:01.040Z,"102 km SSE of Sand Point, Alaska",earthquake,6.8,4.1,0.061,26,reviewed,us,us,tram xxx,1
2020-10-30T04:29:59.880Z,17.9228,-66.8383,13,2.6,md,21,202,0.0664,0.09,pr,pr2020304000,2020-10-30T04:56:17.122Z,"8 km SSW of Indios, Puerto Rico",earthquake,0.55,0.25,0.05,7,reviewed,pr,pr,tram xxx,1
2020-10-30T04:06:49.491Z,-23.358,-175.2837,35,4.8,mb,,116,6.324,0.65,us,us7000c7uz,2020-10-30T04:31:12.040Z,"226 km S of ‘Ohonua, Tonga",earthquake,8.8,1.9,0.055,100,reviewed,us,us,tram xxx,1
2020-10-30T03:46:45.587Z,-22.9706,-66.6654,236.2,4.4,mb,,96,1.395,0.59,us,us7000c7uh,2020-10-30T04:09:35.040Z,"103 km WSW of Abra Pampa, Argentina",earthquake,10.2,6.6,0.161,11,reviewed,us,us,tram xxx,1
2020-10-30T03:43:48.918Z,31.652,-104.3253,5,2.8,ml,,65,0.15,0.38,us,us7000c7ug,2020-10-30T03:51:43.040Z,"58 km S of Whites City, New Mexico",earthquake,1.7,2,0.081,68,reviewed,us,us,tram xxx,1
2020-10-30T03:02:03.414Z,-22.8014,-114.4349,10,4.7,mb,,188,40.03,0.49,us,us7000c7u4,2020-10-30T03:21:32.040Z,Easter Island region,earthquake,9,2,0.045,148,reviewed,us,us,tram xxx,1
2020-10-30T02:34:22.067Z,-20.8916,-178.5061,580.1,5.3,mww,,35,4.511,1.01,us,us7000c7tm,2020-10-30T02:51:52.040Z,Fiji region,earthquake,10.7,7.4,0.098,10,reviewed,us,us,tram xxx,1
2020-10-30T02:26:21.314Z,-62.3488,-58.2264,10,4.7,mb,,124,0.232,1.12,us,us7000c7tj,2020-10-30T02:52:33.040Z,South Shetland Islands,earthquake,4.3,1.9,0.134,17,reviewed,us,us,tram xxx,1
2020-10-30T01:58:53.620Z,19.15699959,-155.3631592,2.769999981,2.48,ml,10,244,,0.100000001,hv,hv72207691,2020-10-30T02:04:24.590Z,"13 km ESE of Pāhala, Hawaii",earthquake,2.07,13.4499998,0.36,9,automatic,hv,hv,tram xxx,1
2020-10-30T01:28:19.972Z,-7.6922,119.3721,284.84,4.2,mb,,111,2.687,0.64,us,us7000c7t8,2020-10-30T01:44:27.040Z,"100 km N of Komodo, Indonesia",earthquake,7.3,11.9,0.152,12,reviewed,us,us,tram xxx,1
2020-10-30T00:10:30.820Z,52.336,-174.1446667,3.52,2.49,ml,8,74,,0.11,av,av91011018,2020-10-30T00:33:36.540Z,"16 km NNE of Atka, Alaska",earthquake,0.32,0.73,0.246686135,8,reviewed,av,av,tram xxx,1
2020-10-29T23:51:37.610Z,17.9725,-66.8408,13,2.71,md,21,183,0.0385,0.2,pr,pr2020303004,2020-10-30T00:14:39.595Z,Puerto Rico region,earthquake,0.67,0.35,0.33,18,reviewed,pr,pr,tram xxx,1
2020-10-29T23:23:08.554Z,54.1557,-159.7964,19.53,2.8,ml,,285,0.687,0.95,us,us7000c7sn,2020-10-29T23:53:33.040Z,"139 km SSE of Sand Point, Alaska",earthquake,6.9,16.6,0.128,8,reviewed,us,us,tram xxx,1
2020-10-29T22:39:36.066Z,46.8029,27.4491,10,4.4,mb,,66,1.677,0.89,us,us7000c7s6,2020-10-30T07:53:18.851Z,"3 km SSE of Negreşti, Romania",earthquake,6.1,2,0.268,4,reviewed,us,us,tram xxx,1
